fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Jingliang Li vs David Zawada,Li Jingliang,David Zawada,Li Jingliang,UFC Fight Night: Blaydes vs. Ngannou 2,Peter Hickmott,KO/TKO,11.24.2018,Cadillac Arena,no,Main Card,15,16,5,4,0,0,30.0,28.0,China,Germany,86%,14%,1,1,89 of 222,73 of 184,40%,39%,97 of 234,74 of 185,1 of 2,0 of 4,50%,0%,0,0,3,4:07,"6' 0""","6' 0""","71""","75""",Orthodox,Orthodox
Alex Morono vs Kenan Song,Song Kenan,Alex Morono,Alex Morono,UFC Fight Night: Blaydes vs. Ngannou 2,Marc Goddard,Decision - Unanimous,11.24.2018,Cadillac Arena,no,Preliminary Card,18,14,4,5,0,0,28.0,28.0,China,United States,70%,30%,0,0,61 of 152,98 of 212,40%,46%,62 of 153,100 of 214,0 of 0,0 of 2,,0%,0,0,3,5:00,"6' 0""","5' 11""","71""","72""",Orthodox,Orthodox
Wu Yanan vs Lauren Mueller,Wu Yanan,Lauren Mueller,Wu Yanan,UFC Fight Night: Blaydes vs. Ngannou 2,John Sharp,Submission,11.24.2018,Cadillac Arena,no,Preliminary Card,12,5,2,0,0,0,22.0,27.0,China,United States,8%,92%,0,0,18 of 36,17 of 43,50%,39%,28 of 46,27 of 55,0 of 1,0 of 1,0%,0%,1,0,1,4:00,"5' 8""","5' 5""","66""","67""",Orthodox,Orthodox
Rashad Coulter vs Yaozong Hu,Hu Yaozong,Rashad Coulter,Rashad Coulter,UFC Fight Night: Blaydes vs. Ngannou 2,Thomas Fan,Decision - Unanimous,11.24.2018,Cadillac Arena,no,Preliminary Card,3,8,1,4,0,0,23.0,36.0,China,United States,25%,75%,0,1,92 of 174,98 of 157,52%,62%,98 of 183,108 of 167,0 of 1,0 of 0,0%,,0,0,3,5:00,"6' 3""","5' 11""","72""","76""",Orthodox,Orthodox
Weili Zhang vs Jessica Aguilar,Zhang Weili,Jessica Aguilar,Zhang Weili,UFC Fight Night: Blaydes vs. Ngannou 2,Peter Hickmott,Submission,11.24.2018,Cadillac Arena,no,Preliminary Card,17,20,1,6,0,0,29.0,36.0,China,Mexico,27%,73%,0,0,45 of 58,9 of 12,77%,75%,63 of 79,11 of 14,1 of 3,0 of 1,33%,0%,2,0,1,3:41,"5' 4""","5' 3""","63""","63""",Switch,Orthodox
Pingyuan Liu vs Martin Day,Pingyuan Liu,Martin Day,Pingyuan Liu,UFC Fight Night: Blaydes vs. Ngannou 2,Marc Goddard,Decision - Split,11.24.2018,Cadillac Arena,no,Preliminary Card,14,8,4,2,0,0,25.0,30.0,China,United States,14%,86%,1,1,55 of 133,100 of 184,41%,54%,73 of 155,127 of 218,0 of 4,1 of 1,0%,100%,2,2,3,5:00,"5' 6""","5' 10""","72""","73""",Orthodox,Orthodox
Xiaonan Yan vs Syuri Kondo,Yan Xiaonan,Syuri Kondo,Yan Xiaonan,UFC Fight Night: Blaydes vs. Ngannou 2,John Sharp,Decision - Unanimous,11.24.2018,Cadillac Arena,no,Preliminary Card,11,6,1,1,0,0,29.0,29.0,China,Japan,85%,15%,0,0,150 of 331,86 of 221,45%,38%,150 of 333,86 of 221,0 of 1,0 of 0,0%,,0,0,3,5:00,"5' 5""","5' 4""","63""","66""",Orthodox,Orthodox
Kevin Holland vs John Phillips,Kevin Holland,John Phillips,Kevin Holland,UFC Fight Night: Blaydes vs. Ngannou 2,Peter Hickmott,Submission,11.24.2018,Cadillac Arena,no,Preliminary Card,13,21,4,7,0,0,26.0,33.0,United States,Wales,10%,90%,0,0,123 of 187,51 of 154,65%,33%,164 of 236,53 of 156,5 of 6,0 of 0,83%,,2,0,3,4:05,"6' 3""","5' 11""","81""","75""",Orthodox,Southpaw
Louis Smolka vs Sumudaerji,Sumudaerji,Louis Smolka,Louis Smolka,UFC Fight Night: Blaydes vs. Ngannou 2,Thomas Fan,Submission,11.24.2018,Cadillac Arena,no,Preliminary Card,13,14,3,5,0,0,22.0,27.0,China,United States,90%,10%,0,0,18 of 30,32 of 62,60%,51%,20 of 33,42 of 76,0 of 0,2 of 5,,40%,2,1,2,2:07,"5' 8""","5' 9""","72""","68""",Southpaw,Orthodox
Santiago Ponzinibbio vs Neil Magny,Neil Magny,Santiago Ponzinibbio,Santiago Ponzinibbio,UFC Fight Night: Magny vs. Ponzinibbio,Herb Dean,KO/TKO,11.17.2018,Luna Park,no,Main Event,21,26,6,3,0,0,31.0,32.0,,Argentina,75%,25%,0,2,72 of 251,79 of 177,28%,44%,72 of 251,81 of 179,0 of 2,0 of 0,0%,,0,0,4,2:36,"6' 3""","6' 0""","80""","73""",Orthodox,Orthodox
Ricardo Lamas vs Darren Elkins,Ricardo Lamas,Darren Elkins,Ricardo Lamas,UFC Fight Night: Magny vs. Ponzinibbio,Keith Peterson,KO/TKO,11.17.2018,Luna Park,no,Co-Main Event,18,24,7,6,0,0,36.0,34.0,United States,,63%,37%,0,0,70 of 123,62 of 174,56%,35%,80 of 134,81 of 196,3 of 5,3 of 6,60%,50%,0,0,3,4:09,"5' 8""","5' 10""","71""","71""",Orthodox,Orthodox
Johnny Walker vs Khalil Rountree Jr,Khalil Rountree Jr,Johnny Walker,Johnny Walker,UFC Fight Night: Magny vs. Ponzinibbio,Fernando Portella,KO/TKO,11.17.2018,Luna Park,no,Main Card,7,14,2,3,0,0,28.0,26.0,United States,Brazil,83%,17%,0,1,4 of 9,10 of 11,44%,90%,5 of 10,10 of 11,0 of 0,0 of 0,,,0,0,1,1:57,"6' 1""","6' 6""","76""","82""",Southpaw,Orthodox
Ian Heinisch vs Cezar Ferreira,Cezar Ferreira,Ian Heinisch,Ian Heinisch,UFC Fight Night: Magny vs. Ponzinibbio,Keith Peterson,Decision - Unanimous,11.17.2018,Luna Park,no,Main Card,13,11,6,1,0,0,33.0,30.0,Brazil,United States,83%,17%,0,1,26 of 55,55 of 95,47%,57%,38 of 68,90 of 133,5 of 11,1 of 7,45%,14%,0,2,3,5:00,"6' 1""","5' 11""","78""","72""",Southpaw,Orthodox
Marlon Vera vs Guido Cannetti,Guido Cannetti,Marlon Vera,Marlon Vera,UFC Fight Night: Magny vs. Ponzinibbio,Eduardo Herdy,Submission,11.17.2018,Luna Park,no,Main Card,8,13,3,5,0,1,38.0,25.0,Argentina,Ecuador,8%,92%,0,1,24 of 42,24 of 35,57%,68%,37 of 56,36 of 48,2 of 4,2 of 2,50%,100%,0,2,2,1:31,"5' 6""","5' 8""","68""","70""",Southpaw,Switch
Cynthia Calvillo vs Poliana Botelho,Cynthia Calvillo,Poliana Botelho,Cynthia Calvillo,UFC Fight Night: Magny vs. Ponzinibbio,Herb Dean,Submission,11.17.2018,Luna Park,no,Main Card,6,7,1,1,0,0,31.0,29.0,United States,Brazil,48%,52%,0,0,22 of 41,6 of 20,53%,30%,35 of 54,10 of 24,2 of 3,0 of 0,66%,,1,0,1,4:48,"5' 4""","5' 8""","64""","67""",Orthodox,Orthodox
Michel Prazeres vs Bartosz Fabinski,Michel Prazeres,Bartosz Fabinski,Michel Prazeres,UFC Fight Night: Magny vs. Ponzinibbio,Osiris Maia,Submission,11.17.2018,Luna Park,no,Preliminary Card,25,14,2,2,0,0,37.0,32.0,Brazil,Poland,77%,23%,1,0,18 of 23,1 of 5,78%,20%,26 of 32,1 of 5,1 of 1,0 of 0,100%,,1,0,1,1:02,"5' 6""","6' 0""","67""","75""",Orthodox,Orthodox
Alexandre Pantoja vs Yuta Sasaki,Alexandre Pantoja,Yuta Sasaki,Alexandre Pantoja,UFC Fight Night: Magny vs. Ponzinibbio,Herb Dean,Submission,11.17.2018,Luna Park,no,Preliminary Card,19,21,3,5,0,2,28.0,29.0,Brazil,Japan,88%,12%,0,0,4 of 7,7 of 11,57%,63%,7 of 10,8 of 12,0 of 1,0 of 0,0%,,2,0,1,2:18,"5' 5""","5' 10""","67""","71""",Orthodox,Southpaw
Austin Arnett vs Humberto Bandenay,Humberto Bandenay,Austin Arnett,Austin Arnett,UFC Fight Night: Magny vs. Ponzinibbio,Keith Peterson,Decision - Unanimous,11.17.2018,Luna Park,no,Preliminary Card,14,15,5,5,0,0,24.0,27.0,Peru,United States,10%,90%,0,0,30 of 85,74 of 116,35%,63%,31 of 87,95 of 139,2 of 3,1 of 6,66%,16%,0,0,3,5:00,"5' 11""","6' 0""","71""","72""",Southpaw,Orthodox
Laureano Staropoli vs Hector Aldana,Laureano Staropoli,Hector Aldana,Laureano Staropoli,UFC Fight Night: Magny vs. Ponzinibbio,Fernando Portella,Decision - Unanimous,11.17.2018,Luna Park,no,Preliminary Card,7,4,1,1,0,0,25.0,30.0,Argentina,Mexico,78%,22%,0,0,97 of 275,69 of 170,35%,40%,99 of 277,72 of 173,0 of 0,0 of 0,,,0,0,3,5:00,"6' 1""","5' 11""","71""","72""",Orthodox,Orthodox
Jesus Pinedo vs Devin Powell,Devin Powell,Jesus Pinedo,Jesus Pinedo,UFC Fight Night: Magny vs. Ponzinibbio,Osiris Maia,Decision - Unanimous,11.17.2018,Luna Park,no,Preliminary Card,9,15,3,4,0,1,30.0,22.0,United States,Peru,66%,34%,0,0,58 of 139,60 of 142,41%,42%,68 of 157,68 of 153,0 of 1,5 of 5,0%,100%,0,0,3,5:00,"6' 0""","5' 10""","73""",74,Orthodox,Southpaw
Nad Narimani vs Anderson dos Santos,Nad Narimani,Anderson Dos Santos,Nad Narimani,UFC Fight Night: Magny vs. Ponzinibbio,Eduardo Herdy,Decision - Unanimous,11.17.2018,Luna Park,no,Preliminary Card,11,20,2,6,0,0,31.0,33.0,England,Brazil,86%,14%,0,0,84 of 186,46 of 170,45%,27%,111 of 220,50 of 174,1 of 5,0 of 1,20%,0%,0,1,3,5:00,"5' 8""","5' 5""","70""","70""",Orthodox,Orthodox
Yair Rodriguez vs Chan Sung Jung,Chan Sung Jung,Yair Rodriguez,Yair Rodriguez,UFC Fight Night: Korean Zombie vs. Rodriguez,Kevin MacDonald,KO/TKO,11.10.2018,Pepsi Center,no,Main Event,14,14,4,2,0,0,31.0,26.0,,Mexico,34%,66%,0,1,126 of 308,119 of 271,40%,43%,130 of 312,129 of 281,0 of 5,0 of 4,0%,0%,0,0,5,4:59,"5' 7""","5' 11""","72""","71""",Orthodox,Orthodox
Donald Cerrone vs Mike Perry,Donald Cerrone,Mike Perry,Donald Cerrone,UFC Fight Night: Korean Zombie vs. Rodriguez,Keith Peterson,Submission,11.10.2018,Pepsi Center,no,Co-Main Event,33,12,11,3,0,0,35.0,27.0,United States,United States,59%,41%,0,0,9 of 13,11 of 20,69%,55%,10 of 14,11 of 20,0 of 1,1 of 1,0%,100%,1,0,1,4:46,"6' 1""","5' 10""","73""","71""",Orthodox,Orthodox
Germaine de Randamie vs Raquel Pennington,Raquel Pennington,Germaine de Randamie,Germaine de Randamie,UFC Fight Night: Korean Zombie vs. Rodriguez,Kevin MacDonald,Decision - Unanimous,11.10.2018,Pepsi Center,no,Main Card,9,7,6,3,0,0,30.0,34.0,United States,Netherlands,73%,27%,0,0,24 of 84,42 of 107,28%,39%,52 of 130,91 of 159,0 of 8,0 of 0,0%,,0,0,3,5:00,"5' 7""","5' 9""","67""","71""",Orthodox,Orthodox
Beneil Dariush vs Thiago Moises,Beneil Dariush,Thiago Moises,Beneil Dariush,UFC Fight Night: Korean Zombie vs. Rodriguez,Keith Peterson,Decision - Unanimous,11.10.2018,Pepsi Center,no,Main Card,14,11,4,2,1,0,29.0,23.0,Assyria,Brazil,80%,20%,0,0,44 of 68,8 of 16,64%,50%,113 of 161,20 of 30,4 of 8,0 of 2,50%,0%,2,4,3,5:00,"5' 10""","5' 9""","72""","70""",Southpaw,Orthodox
Maycee Barber vs Hannah Cifers,Maycee Barber,Hannah Cifers,Maycee Barber,UFC Fight Night: Korean Zombie vs. Rodriguez,Kevin MacDonald,KO/TKO,11.10.2018,Pepsi Center,no,Main Card,5,8,0,2,0,0,20.0,26.0,United States,United States,90%,10%,0,0,68 of 97,41 of 69,70%,59%,78 of 107,60 of 88,1 of 5,0 of 0,20%,,0,0,2,2:01,"5' 5""","5' 1""","65""","62""",Switch,Orthodox
Michael Trizano vs Luis Pena,Michael Trizano,Luis Pena,Michael Trizano,UFC Fight Night: Korean Zombie vs. Rodriguez,Keith Peterson,Decision - Split,11.10.2018,Pepsi Center,no,Main Card,7,5,0,0,0,0,26.0,25.0,United States,United States,83%,17%,0,0,51 of 100,23 of 85,51%,27%,55 of 104,34 of 97,1 of 2,1 of 9,50%,11%,1,0,3,5:00,"5' 11""","6' 3""","71""","75""",Orthodox,Southpaw
Ashley Yoder vs Amanda Cooper,Ashley Yoder,Amanda Cooper,Ashley Yoder,UFC Fight Night: Korean Zombie vs. Rodriguez,Tom Johnson,Decision - Split,11.10.2018,Pepsi Center,no,Preliminary Card,3,5,4,4,0,0,27.0,31.0,United States,United States,54%,46%,0,0,38 of 90,51 of 105,42%,48%,59 of 113,67 of 121,1 of 2,2 of 6,50%,33%,3,2,3,5:00,"5' 7""","5' 3""","69""","64""",Southpaw,Switch
Chas Skelly vs Bobby Moffett,Chas Skelly,Bobby Moffett,,UFC Fight Night: Korean Zombie vs. Rodriguez,Tim Mills,Overturned,11.10.2018,Pepsi Center,no,Preliminary Card,17,13,3,3,0,0,33.0,28.0,United States,United States,79%,21%,0,0,30 of 60,20 of 56,50%,35%,47 of 81,21 of 57,1 of 2,1 of 1,50%,100%,0,1,2,2:43,"5' 11""","5' 10""","72""","73""",Orthodox,Orthodox
Davi Ramos vs John Gunther,Davi Ramos,John Gunther,Davi Ramos,UFC Fight Night: Korean Zombie vs. Rodriguez,Tom Johnson,Submission,11.10.2018,Pepsi Center,no,Preliminary Card,8,7,2,0,0,0,32.0,32.0,Brazil,United States,86%,14%,0,0,4 of 5,1 of 3,80%,33%,4 of 5,1 of 4,1 of 1,0 of 0,100%,,1,0,1,1:57,"5' 6""","5' 9""","70""","72""",Orthodox,Orthodox
Devonte Smith vs Julian Erosa,Devonte Smith,Julian Erosa,Devonte Smith,UFC Fight Night: Korean Zombie vs. Rodriguez,Tim Mills,KO/TKO,11.10.2018,Pepsi Center,no,Preliminary Card,8,22,1,5,0,0,25.0,29.0,United States,United States,23%,77%,1,0,13 of 19,4 of 7,68%,57%,13 of 19,4 of 7,0 of 0,0 of 0,,,0,0,1,0:46,"5' 9""","6' 1""","76""","74""",Orthodox,Southpaw
Eric Shelton vs Joseph Morales,Joseph Morales,Eric Shelton,Eric Shelton,UFC Fight Night: Korean Zombie vs. Rodriguez,Tom Johnson,Decision - Split,11.10.2018,Pepsi Center,no,Preliminary Card,9,11,1,5,0,0,24.0,27.0,United States,United States,29%,71%,0,0,24 of 67,16 of 57,35%,28%,28 of 71,45 of 90,1 of 1,7 of 10,100%,70%,4,0,3,5:00,"5' 6""","5' 6""","69""","68""",Switch,Orthodox
Mark De La Rosa vs Joby Sanchez,Mark De La Rosa,Joby Sanchez,Mark De La Rosa,UFC Fight Night: Korean Zombie vs. Rodriguez,Tim Mills,Decision - Split,11.10.2018,Pepsi Center,no,Preliminary Card,10,11,1,3,0,0,24.0,27.0,United States,United States,81%,19%,0,0,66 of 167,55 of 124,39%,44%,68 of 169,85 of 155,0 of 7,0 of 1,0%,0%,0,0,3,5:00,"5' 6""","5' 6""","65""","68""",Orthodox,Orthodox
Daniel Cormier vs Derrick Lewis,Daniel Cormier,Derrick Lewis,Daniel Cormier,UFC 230: Cormier vs. Lewis,Herb Dean,Submission,11.03.2018,Madison Square Garden,yes,Main Event,21,21,5,1,0,0,33.0,39.0,United States,United States,13%,87%,0,0,19 of 25,4 of 13,76%,30%,42 of 54,5 of 14,4 of 4,0 of 0,100%,,1,0,2,2:14,"5' 11""","6' 3""","72""","79""",Orthodox,Orthodox
Ronaldo Souza vs Chris Weidman,Chris Weidman,Ronaldo Souza,Ronaldo Souza,UFC 230: Cormier vs. Lewis,Dan Miragliotta,KO/TKO,11.03.2018,Madison Square Garden,no,Co-Main Event,14,25,3,6,0,0,34.0,38.0,,Brazil,62%,38%,0,1,68 of 193,74 of 132,35%,56%,76 of 201,100 of 158,1 of 1,0 of 0,100%,,0,0,3,2:46,"6' 2""","6' 1""","78""","72""",Orthodox,Orthodox
Jared Cannonier vs David Branch,David Branch,Jared Cannonier,Jared Cannonier,UFC 230: Cormier vs. Lewis,Keith Peterson,KO/TKO,11.03.2018,Madison Square Garden,no,Main Card,22,10,4,4,0,0,36.0,34.0,,United States,8%,92%,0,1,10 of 25,26 of 56,40%,46%,13 of 28,31 of 61,3 of 10,0 of 0,30%,,0,0,2,0:39,"6' 1""","5' 11""","78""","77""",Orthodox,Switch
Karl Roberson vs Jack Marshman,Karl Roberson,Jack Marshman,Karl Roberson,UFC 230: Cormier vs. Lewis,Yves Lavigne,Decision - Unanimous,11.03.2018,Madison Square Garden,no,Main Card,6,22,1,7,0,0,28.0,28.0,United States,Wales,76%,24%,0,0,34 of 71,21 of 98,47%,21%,90 of 135,30 of 108,2 of 3,0 of 0,66%,,0,0,3,5:00,"6' 1""","6' 0""","74""","73""",Southpaw,Orthodox
Israel Adesanya vs Derek Brunson,Derek Brunson,Israel Adesanya,Israel Adesanya,UFC 230: Cormier vs. Lewis,Herb Dean,KO/TKO,11.03.2018,Madison Square Garden,no,Main Card,18,14,6,0,0,0,34.0,29.0,,Nigeria,85%,15%,0,3,3 of 14,13 of 23,21%,56%,9 of 23,15 of 25,0 of 7,0 of 0,0%,,0,0,1,4:51,"6' 1""","6' 4""","77""","80""",Southpaw,Switch
Jordan Rinaldi vs Jason Knight,Jason Knight,Jordan Rinaldi,Jordan Rinaldi,UFC 230: Cormier vs. Lewis,Dan Miragliotta,Decision - Unanimous,11.03.2018,Madison Square Garden,no,Preliminary Card,20,13,5,6,0,0,26.0,31.0,United States,United States,86%,14%,0,0,12 of 42,20 of 40,28%,50%,62 of 93,98 of 128,0 of 0,3 of 4,,75%,0,2,3,5:00,"5' 10""","5' 10""","71""","72""",Orthodox,Orthodox
Sijara Eubanks vs Roxanne Modafferi,Sijara Eubanks,Roxanne Modafferi,Sijara Eubanks,UFC 230: Cormier vs. Lewis,Keith Peterson,Decision - Unanimous,11.03.2018,Madison Square Garden,no,Preliminary Card,3,22,2,14,0,0,33.0,36.0,United States,United States,77%,23%,1,0,57 of 175,28 of 120,32%,23%,81 of 205,73 of 174,3 of 4,1 of 4,75%,25%,0,0,3,5:00,"5' 4""","5' 7""","67""","69""",Orthodox,Orthodox
Sheymon Moraes vs Julio Arce,Julio Arce,Sheymon Moraes,Sheymon Moraes,UFC 230: Cormier vs. Lewis,Yves Lavigne,Decision - Split,11.03.2018,Madison Square Garden,no,Preliminary Card,15,10,2,2,0,0,29.0,28.0,United States,Brazil,18%,82%,0,2,25 of 119,32 of 102,21%,31%,46 of 145,35 of 105,1 of 5,0 of 0,20%,,2,0,3,5:00,"5' 7""","5' 8""","70""","72""",Southpaw,Orthodox
Lyman Good vs Ben Saunders,Lyman Good,Ben Saunders,Lyman Good,UFC 230: Cormier vs. Lewis,Herb Dean,KO/TKO,11.03.2018,Madison Square Garden,no,Preliminary Card,19,22,4,10,0,2,33.0,35.0,United States,United States,21%,79%,1,0,14 of 22,12 of 23,63%,52%,17 of 25,12 of 23,0 of 0,0 of 0,,,0,0,1,1:32,"6' 0""","6' 2""","74""","77""",Orthodox,Orthodox
Matt Frevola vs Lando Vannata,Matt Frevola,Lando Vannata,,UFC 230: Cormier vs. Lewis,Dan Miragliotta,Decision - Majority,11.03.2018,Madison Square Garden,no,Preliminary Card,9,6,3,1,1,0,26.0,28.0,United States,United States,87%,13%,0,2,66 of 176,67 of 164,37%,40%,66 of 177,80 of 177,2 of 6,1 of 5,33%,20%,1,1,3,5:00,"5' 9""","5' 9""","71""","71""",Orthodox,Orthodox
Shane Burgos vs Kurt Holobaugh,Shane Burgos,Kurt Holobaugh,Shane Burgos,UFC 230: Cormier vs. Lewis,Yves Lavigne,Submission,11.03.2018,Madison Square Garden,no,Preliminary Card,10,17,1,5,0,0,27.0,32.0,United States,United States,92%,8%,0,1,17 of 24,21 of 51,70%,41%,17 of 24,26 of 57,0 of 0,0 of 0,,,1,0,1,2:11,"5' 11""","5' 11""","75""","70""",Orthodox,Orthodox
Marcos Rogerio de Lima vs Adam Wieczorek,Adam Wieczorek,Marcos Rogerio de Lima,Marcos Rogerio de Lima,UFC 230: Cormier vs. Lewis,Dan Miragliotta,Decision - Unanimous,11.03.2018,Madison Square Garden,no,Preliminary Card,10,15,1,5,0,1,26.0,33.0,Poland,Brazil,83%,17%,0,0,7 of 38,28 of 59,18%,47%,31 of 65,70 of 112,1 of 2,3 of 5,50%,60%,0,0,3,5:00,"6' 5""","6' 1""","81""","75""",Orthodox,Orthodox
Anthony Smith vs Volkan Oezdemir,Volkan Oezdemir,Anthony Smith,Anthony Smith,UFC Fight Night: Oezdemir vs. Smith,Yves Lavigne,Submission,10.27.2018,Moncton Events Centre,no,Main Event,15,31,2,13,0,0,29.0,30.0,Switzerland,United States,63%,37%,0,0,77 of 148,63 of 117,52%,53%,103 of 175,67 of 121,1 of 1,1 of 3,100%,33%,0,2,3,4:26,"6' 2""","6' 4""","75""","76""",Orthodox,Orthodox
Michael Johnson vs Artem Lobov,Michael Johnson,Artem Lobov,Michael Johnson,UFC Fight Night: Oezdemir vs. Smith,Jerin Valel,Decision - Unanimous,10.27.2018,Moncton Events Centre,no,Co-Main Event,18,14,13,14,0,1,32.0,32.0,United States,Russia,92%,8%,0,0,99 of 219,67 of 189,45%,35%,101 of 222,67 of 189,1 of 1,0 of 0,100%,,0,0,3,5:00,"5' 10""","5' 9""","73""","65""",Southpaw,Southpaw
Misha Cirkunov vs Patrick Cummins,Misha Cirkunov,Patrick Cummins,Misha Cirkunov,UFC Fight Night: Oezdemir vs. Smith,Yves Lavigne,Submission,10.27.2018,Moncton Events Centre,no,Main Card,13,10,4,5,0,0,31.0,37.0,Latvia,United States,16%,84%,0,0,11 of 18,3 of 5,61%,60%,65 of 72,6 of 8,1 of 1,0 of 3,100%,0%,2,0,1,2:40,"6' 3""","6' 2""","77""","76""",Orthodox,Orthodox
Andre Soukhamthath vs Jonathan Martinez,Andre Soukhamthath,Jonathan Martinez,Andre Soukhamthath,UFC Fight Night: Oezdemir vs. Smith,Jerin Valel,Decision - Unanimous,10.27.2018,Moncton Events Centre,no,Main Card,12,9,6,1,0,0,30.0,24.0,United States,United States,23%,77%,2,0,79 of 138,71 of 111,57%,63%,98 of 157,88 of 128,3 of 3,1 of 2,100%,50%,1,0,3,5:00,"5' 9""","5' 8""","70""","70""",Orthodox,Southpaw
Gian Villante vs Ed Herman,Gian Villante,Ed Herman,Gian Villante,UFC Fight Night: Oezdemir vs. Smith,Yves Lavigne,Decision - Split,10.27.2018,Moncton Events Centre,no,Main Card,16,21,10,13,0,0,33.0,38.0,United States,,86%,14%,0,0,81 of 217,84 of 223,37%,37%,81 of 217,85 of 224,0 of 1,0 of 1,0%,0%,0,0,3,5:00,"6' 3""","6' 1""","76""","77""",Orthodox,Orthodox
Court McGee vs Alex Garcia,Alex Garcia,Court McGee,Court McGee,UFC Fight Night: Oezdemir vs. Smith,Jerin Valel,Decision - Unanimous,10.27.2018,Moncton Events Centre,no,Main Card,15,18,5,7,0,0,31.0,33.0,Canada,United States,24%,76%,0,1,27 of 60,51 of 88,45%,57%,39 of 73,111 of 154,1 of 4,2 of 6,25%,33%,0,0,3,5:00,"5' 9""","5' 11""","72""","75""",Orthodox,Orthodox
Sean Strickland vs Nordine Taleb,Nordine Taleb,Sean Strickland,Sean Strickland,UFC Fight Night: Oezdemir vs. Smith,Eric Nevitt,KO/TKO,10.27.2018,Moncton Events Centre,no,Preliminary Card,14,19,5,3,0,0,37.0,27.0,France,United States,63%,37%,0,1,48 of 95,65 of 177,50%,36%,49 of 96,68 of 180,0 of 0,0 of 0,,,0,0,2,3:10,"6' 1""","6' 1""","74""","76""",Orthodox,Orthodox
Nasrat Haqparast vs Thibault Gouti,Thibault Gouti,Nasrat Haqparast,Nasrat Haqparast,UFC Fight Night: Oezdemir vs. Smith,Barry Gallant,Decision - Unanimous,10.27.2018,Moncton Events Centre,no,Preliminary Card,12,9,4,2,0,0,31.0,23.0,France,Afghanistan,5%,95%,0,1,78 of 284,124 of 256,27%,48%,95 of 306,148 of 282,0 of 0,0 of 1,,0%,0,0,3,5:00,"5' 10""","5' 10""","72""","72""",Orthodox,Southpaw
Calvin Kattar vs Chris Fishgold,Calvin Kattar,Chris Fishgold,Calvin Kattar,UFC Fight Night: Oezdemir vs. Smith,Yves Lavigne,KO/TKO,10.27.2018,Moncton Events Centre,no,Preliminary Card,17,18,1,3,1,0,26.0,30.0,England,United States,83%,17%,1,0,24 of 48,20 of 75,50%,26%,29 of 56,20 of 75,0 of 0,1 of 2,,50%,0,0,1,4:11,"5' 11""","5' 8""","72""","68""",Orthodox,Orthodox
Talita Bernardo vs Sarah Moras,Sarah Moras,Talita Bernardo,Talita Bernardo,UFC Fight Night: Oezdemir vs. Smith,Eric Nevitt,Decision - Unanimous,10.27.2018,Moncton Events Centre,no,Preliminary Card,5,5,3,3,0,0,30.0,31.0,Canada,Brazil,82%,18%,0,0,37 of 95,60 of 102,38%,58%,78 of 142,86 of 130,1 of 2,2 of 6,50%,33%,0,1,3,5:00,"5' 7""","5' 4""","67""","68""",Orthodox,Orthodox
Don Madge vs Te Edwards,Te Edwards,Don Madge,Don Madge,UFC Fight Night: Oezdemir vs. Smith,Barry Gallant,KO/TKO,10.27.2018,Moncton Events Centre,no,Preliminary Card,6,7,1,3,0,1,28.0,27.0,United States,South Africa,12%,88%,0,2,5 of 15,21 of 31,33%,67%,6 of 16,42 of 53,1 of 1,0 of 0,100%,,0,1,2,0:14,"5' 8""","6' 0""","72""","72""",Orthodox,Southpaw
Arjan Bhullar vs Marcelo Golm,Arjan Bhullar,Marcelo Golm,Arjan Bhullar,UFC Fight Night: Oezdemir vs. Smith,Eric Nevitt,Decision - Unanimous,10.27.2018,Moncton Events Centre,no,Preliminary Card,7,6,1,1,0,0,32.0,26.0,Canada,Brazil,74%,26%,0,0,47 of 84,43 of 87,55%,49%,99 of 140,59 of 103,1 of 2,0 of 1,50%,0%,0,0,3,5:00,"6' 1""","6' 3""","75""","75""",Orthodox,Orthodox
Stevie Ray vs Jessin Ayari,Stevie Ray,Jessin Ayari,Stevie Ray,UFC Fight Night: Oezdemir vs. Smith,Barry Gallant,Decision - Unanimous,10.27.2018,Moncton Events Centre,no,Preliminary Card,21,16,8,4,0,0,28.0,26.0,Scotland,Germany,22%,78%,0,0,75 of 174,63 of 138,43%,45%,75 of 174,64 of 139,0 of 0,0 of 0,,,0,0,3,5:00,"5' 10""","6' 0""","70""","73""",Southpaw,Orthodox
